week,orders,lines,n_tours,batch_cap,routing,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy
13,4619,92346,4619,1,largestgap,2117.384,458.4074474994588,0.22775983810424805,0.6443473458514717,68.77898439745513,118.93716277606862,603.5349848588963,B1_ABC
14,4926,101294,4926,1,largestgap,2316.057,470.16991473812425,0.2195265293121338,0.6423791142614568,94.3560337870029,143.25722793785522,709.4505852617959,B1_ABC
15,4428,87184,4428,1,largestgap,2077.156,469.09575429087624,0.22956132888793945,0.6375567764727473,67.93266824221809,137.3959741411918,575.7458619690117,B1_ABC
16,5091,106001,5091,1,largestgap,2433.73,478.04557061481046,0.2555093765258789,0.6393970339902454,95.80478542389315,153.26013280893287,766.6332860130502,B1_ABC
17,5240,99173,5240,1,largestgap,2368.816,452.0641221374046,0.2711763381958008,0.6325035543948454,81.05661487881187,154.1832498885033,678.5597787281889,B1_ABC
18,4195,84527,4195,1,largestgap,1968.699,469.2965435041716,0.27259087562561035,0.6418697575922486,72.80124800498544,136.74479253519152,516.7407741085595,B1_ABC
19,5148,98986,5148,1,largestgap,2394.069,465.0483682983683,0.24436640739440918,0.6283449174630756,92.75649792704526,159.06471866205464,727.9316885554216,B1_ABC
20,4800,94279,4800,1,largestgap,2255.86,469.97083333333336,0.22086215019226074,0.6370907094899182,69.02605367315749,116.98224367286826,625.9477690799382,B1_ABC
21,5057,98283,5057,1,largestgap,2389.052,472.42475776151866,0.2516179084777832,0.6297292003703591,72.03750917586096,130.11342453318954,677.1219137934492,B1_ABC
13,4619,92346,4619,1,largestgap,2101.818,455.03745399437105,0.24608826637268066,0.6494439390986074,66.77554652768926,119.93329685214208,603.8513964794367,A1_pool
14,4926,101294,4926,1,largestgap,2302.043,467.3250101502233,0.24085545539855957,0.6478182320769246,87.80991889369997,140.44185835263826,684.8434599890517,A1_pool
15,4428,87184,4428,1,largestgap,2042.661,461.30555555555554,0.21310210227966309,0.6501060974490732,59.23686055676789,125.13037447796843,523.6798940028934,A1_pool
16,5091,106001,5091,1,largestgap,2363.46,464.24278137890394,0.2667238712310791,0.6534568070112546,86.35849295064705,141.80926435043318,746.3363501558791,A1_pool
